交易日期,指数名称,收盘点位
2016-08-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3151.26
2016-08-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3131.70
2016-08-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3126.00
2016-08-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3116.85
2016-08-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3122.35
2016-08-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3120.09
2016-08-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3100.39
2016-08-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3098.16
2016-08-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3084.93
2016-08-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3092.92
2016-08-31,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3097.41
2016-09-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3087.47
2016-09-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3087.55
2016-09-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3089.54
2016-09-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3102.45
2016-09-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3100.61
2016-09-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3101.84
2016-09-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3083.43
2016-09-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3035.28
2016-09-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3032.85
2016-09-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3010.45
2016-09-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3033.46
2016-09-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3030.39
2016-09-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3032.90
2016-09-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3052.46
2016-09-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3051.88
2016-09-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3016.94
2016-09-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3032.51
2016-09-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3025.13
2016-09-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3039.89
2016-09-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3047.79
2016-10-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3094.59
2016-10-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3098.33
2016-10-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3088.19
2016-10-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3085.68
2016-10-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3090.45
2016-10-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3071.70
2016-10-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3102.05
2016-10-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3105.20
2016-10-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3109.19
2016-10-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3124.29
2016-10-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3156.76
2016-10-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3159.51
2016-10-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3144.33
2016-10-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3131.00
2016-10-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3126.15
2016-10-31,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3131.57
2016-11-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3148.13
2016-11-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3123.72
2016-11-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3144.82
2016-11-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3139.16
2016-11-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3136.27
2016-11-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3146.76
2016-11-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3121.46
2016-11-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3151.86
2016-11-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3158.46
2016-11-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3157.85
2016-11-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3154.50
2016-11-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3156.42
2016-11-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3167.63
2016-11-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3155.16
2016-11-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3176.85
2016-11-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3194.25
2016-11-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3206.81
2016-11-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3226.51
2016-11-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3261.86
2016-11-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3283.71
2016-11-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3337.35
2016-11-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3300.38
2016-12-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3334.68
2016-12-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3305.18
2016-12-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3266.28
2016-12-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3253.17
2016-12-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3255.71
2016-12-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3268.39
2016-12-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3297.97
2016-12-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3252.72
2016-12-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3244.01
2016-12-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3219.47
2016-12-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3151.93
2016-12-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3155.57
2016-12-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3148.87
2016-12-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3131.24
2016-12-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3159.86
2016-12-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3168.28
2016-12-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3145.65
2016-12-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3157.63
2016-12-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3148.78
2016-12-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3139.72
2016-12-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3141.25
2016-12-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3153.20
2017-01-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3186.26
2017-01-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3202.65
2017-01-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3206.04
2017-01-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3192.98
2017-01-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3208.92
2017-01-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3201.86
2017-01-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3173.37
2017-01-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3156.89
2017-01-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3172.82
2017-01-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3198.49
2017-01-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3200.36
2017-01-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3221.51
2017-01-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3210.98
2017-01-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3232.07
2017-01-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3233.46
2017-01-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3256.21
2017-01-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3269.36
2017-01-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3274.71
2017-02-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3248.97
2017-02-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3259.50
2017-02-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3259.19
2017-02-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3264.58
2017-02-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3268.39
2017-02-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3288.37
2017-02-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3309.24
2017-02-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3307.74
2017-02-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3324.53
2017-02-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3344.71
2017-02-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3321.47
2017-02-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3373.45
2017-02-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3375.50
2017-02-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3384.97
2017-02-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3373.69
2017-02-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3367.53
2017-02-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3347.19
2017-02-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3354.81
2017-03-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3357.80
2017-03-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3343.45
2017-03-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3342.93
2017-03-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3346.99
2017-03-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3354.51
2017-03-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3350.67
2017-03-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3334.22
2017-03-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3333.58
2017-03-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3358.21
2017-03-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3356.96
2017-03-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3367.20
2017-03-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3372.10
2017-03-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3340.64
2017-03-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3364.31
2017-03-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3385.52
2017-03-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3368.24
2017-03-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3375.57
2017-03-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3397.00
2017-03-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3401.73
2017-03-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3388.64
2017-03-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3382.23
2017-03-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3392.88
2017-03-31,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3425.46
2017-04-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3450.09
2017-04-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3463.01
2017-04-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3474.49
2017-04-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3471.17
2017-04-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3478.47
2017-04-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3487.53
2017-04-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3509.10
2017-04-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3480.14
2017-04-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3451.62
2017-04-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3441.71
2017-04-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3431.17
2017-04-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3435.86
2017-04-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3447.72
2017-04-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3421.29
2017-04-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3442.55
2017-04-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3453.45
2017-04-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3449.65
2017-04-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3423.22
2017-05-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3394.74
2017-05-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3369.39
2017-05-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3373.92
2017-05-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3367.66
2017-05-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3352.41
2017-05-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3366.58
2017-05-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3352.87
2017-05-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3381.06
2017-05-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3411.51
2017-05-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3427.03
2017-05-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3452.93
2017-05-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3429.06
2017-05-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3412.44
2017-05-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3430.59
2017-05-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3435.83
2017-05-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3468.06
2017-05-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3469.51
2017-05-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3502.72
2017-05-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3513.29
2017-05-31,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3523.84
2017-06-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3535.47
2017-06-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3529.48
2017-06-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3508.25
2017-06-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3518.11
2017-06-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3546.63
2017-06-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3581.63
2017-06-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3598.73
2017-06-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3610.20
2017-06-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3619.18
2017-06-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3581.64
2017-06-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3550.74
2017-06-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3535.46
2017-06-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3560.64
2017-06-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3542.83
2017-06-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3587.78
2017-06-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3595.86
2017-06-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3618.44
2017-06-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3642.64
2017-06-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3653.61
2017-06-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3639.22
2017-06-29,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3654.78
2017-06-30,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3659.82
2017-07-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3640.61
2017-07-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3622.40
2017-07-05,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3646.78
2017-07-06,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3657.33
2017-07-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3654.40
2017-07-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3643.04
2017-07-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3670.61
2017-07-12,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3649.03
2017-07-13,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3660.80
2017-07-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3683.19
2017-07-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3685.08
2017-07-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3674.46
2017-07-19,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3707.84
2017-07-20,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3734.88
2017-07-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3724.83
2017-07-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3747.30
2017-07-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3734.04
2017-07-26,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3708.77
2017-07-27,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3709.37
2017-07-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3717.14
2017-07-31,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3712.70
2017-08-01,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3739.12
2017-08-02,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3724.03
2017-08-03,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3710.96
2017-08-04,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3694.90
2017-08-07,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3691.40
2017-08-08,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3688.24
2017-08-09,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3678.91
2017-08-10,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3662.83
2017-08-11,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3601.16
2017-08-14,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3614.80
2017-08-15,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3634.35
2017-08-16,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3630.90
2017-08-17,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3649.23
2017-08-18,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3660.85
2017-08-21,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3668.56
2017-08-22,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3664.01
2017-08-23,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3668.03
2017-08-24,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3657.72
2017-08-25,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3712.58
2017-08-28,S&P China A-Share LargeCap Low Volatility High Dividend 50 Index (CNY) TR,3738.31
